fixed_point_id	component_id	baseline_path	terminal_path	selector_kind	selector	protected_projection
ARCH-11	charter	.review/FIDO_GO1_23_SPEC_CLOSURE_ARCHITECTURE_PLAN_2026-07-23.md	.review/FIDO_GO1_23_SPEC_CLOSURE_ARCHITECTURE_PLAN_2026-07-23.md	markdown-section	`## 24. Current Repository Reconciliation`	normalized-section-text
ARCH-12	charter	.review/FIDO_GO1_23_SPEC_CLOSURE_ARCHITECTURE_PLAN_2026-07-23.md	.review/FIDO_GO1_23_SPEC_CLOSURE_ARCHITECTURE_PLAN_2026-07-23.md	markdown-section	`## 26. Acceptance and Freeze Rule`	normalized-section-text
EVID-01	spec-pin-bytes	.review/pins/go_spec_go1.23.html	.review/pins/go_spec_go1.23.html	whole-file	—	raw-bytes
EVID-01	memmodel-pin-bytes	.review/pins/go_mem_2022-06-06.html	.review/pins/go_mem_2022-06-06.html	whole-file	—	raw-bytes
EVID-02	extractor-script	.review/tools/extract_latitude.py	.review/tools/extract_latitude.py	whole-file	—	raw-bytes
EVID-02	frozen-candidate-manifest	.review/FIDO_GO1_23_LATITUDE_MANIFEST_2026-07-23.tsv	.review/FIDO_GO1_23_LATITUDE_MANIFEST_2026-07-23.tsv	whole-file	—	raw-bytes
EVID-02	byte-reproduction-claim	.review/FIDO_GO1_23_SPEC_CLOSURE_FREEZE_R1_2026-07-23.md	.review/FIDO_GO1_23_SPEC_CLOSURE_FREEZE_TERMINAL_2026-07-23.md	anchored-region	`The audit byte-reproduces` … `SHA-256 manifest.`	anchored-normalized-text
EVID-03	order-model	.review/FIDO_GO1_23_SPEC_CLOSURE_ARCHITECTURE_PLAN_2026-07-23.md	.review/FIDO_GO1_23_SPEC_CLOSURE_ARCHITECTURE_PLAN_2026-07-23.md	markdown-section	`### 12.4 Order-of-evaluation latitude`	normalized-section-text
EVID-03	order-contract	.review/FIDO_GO1_23_SPEC_CLOSURE_ARCHITECTURE_PLAN_2026-07-23.md	.review/FIDO_GO1_23_SPEC_CLOSURE_ARCHITECTURE_PLAN_2026-07-23.md	markdown-section	`### 25.21 \`SC-20-EVAL-ORDER-LATITUDE\``	normalized-section-text
EVID-04	fma-row-core	.review/FIDO_GO1_23_LATITUDE_LEDGER_2026-07-23.tsv	.review/FIDO_GO1_23_LATITUDE_LEDGER_2026-07-23.tsv	table-row	`LAT-121`	named-fields {disposition, owner_row, contract, justification}
EVID-04	fma-observation	.review/FIDO_GO1_23_PINNED_TOOLCHAIN_EVIDENCE_R1_2026-07-23.md	.review/FIDO_GO1_23_PINNED_TOOLCHAIN_EVIDENCE_R1_2026-07-23.md	markdown-section	`## 1. Ordinary multiply-add is not fused by default`	normalized-section-text
EVID-05	select-choice	.review/FIDO_GO1_23_LATITUDE_LEDGER_2026-07-23.tsv	.review/FIDO_GO1_23_LATITUDE_LEDGER_2026-07-23.tsv	table-row	`LAT-X002`	named-fields {disposition, owner_row, contract}
EVID-05	map-iteration	.review/FIDO_GO1_23_SPEC_CLOSURE_LEDGER_2026-07-23.csv	.review/FIDO_GO1_23_SPEC_CLOSURE_LEDGER_2026-07-23.csv	table-row	`SPEC-X006`	named-fields {disposition, owner, test}
EVID-05	scheduler-choice	.review/FIDO_GO1_23_LATITUDE_LEDGER_2026-07-23.tsv	.review/FIDO_GO1_23_LATITUDE_LEDGER_2026-07-23.tsv	table-row	`LAT-X003`	named-fields {disposition, owner_row, contract}
EVID-05	print-println-demotion	.review/FIDO_GO1_23_SPEC_CLOSURE_LEDGER_2026-07-23.csv	.review/FIDO_GO1_23_SPEC_CLOSURE_LEDGER_2026-07-23.csv	table-row	`SPEC-X005`	named-fields {disposition, owner, test}
EVID-06	bound-001	.review/FIDO_GO1_23_SPEC_CLOSURE_LEDGER_2026-07-23.csv	.review/FIDO_GO1_23_SPEC_CLOSURE_LEDGER_2026-07-23.csv	table-row	`BOUND-001`	named-fields {disposition, representation}
EVID-06	bound-002	.review/FIDO_GO1_23_SPEC_CLOSURE_LEDGER_2026-07-23.csv	.review/FIDO_GO1_23_SPEC_CLOSURE_LEDGER_2026-07-23.csv	table-row	`BOUND-002`	named-fields {disposition, representation}
EVID-06	bound-003	.review/FIDO_GO1_23_SPEC_CLOSURE_LEDGER_2026-07-23.csv	.review/FIDO_GO1_23_SPEC_CLOSURE_LEDGER_2026-07-23.csv	table-row	`BOUND-003`	named-fields {disposition, representation}
EVID-06	invocation-contract	.review/FIDO_GO1_23_PINNED_TOOLCHAIN_EVIDENCE_R1_2026-07-23.md	.review/FIDO_GO1_23_PINNED_TOOLCHAIN_EVIDENCE_R1_2026-07-23.md	anchored-region	`The adequacy invocation uses` … `workspace selection.`	anchored-normalized-text
EVID-07	tuple-section	.review/FIDO_GO1_23_SPEC_CLOSURE_ARCHITECTURE_PLAN_2026-07-23.md	.review/FIDO_GO1_23_SPEC_CLOSURE_ARCHITECTURE_PLAN_2026-07-23.md	markdown-section	`### 22.3 Terminal observation tuple`	normalized-section-text
EVID-08	f-disposition-rule	.review/FIDO_ARCHITECTURE_F_DISPOSITIONS_2026-07-23.md	.review/FIDO_ARCHITECTURE_F_DISPOSITIONS_2026-07-23.md	anchored-region	`**Disposition rule:**` … `plan §26.`	anchored-normalized-text
EVID-08	checkable-claims-key	.review/FIDO_GO1_23_SPEC_CLOSURE_AUDIT_R1_2026-07-23.json	.review/FIDO_GO1_23_SPEC_CLOSURE_AUDIT_TERMINAL_2026-07-23.json	json-pointer	`/checkable_only`	key-presence
EVID-08	judgment-key	.review/FIDO_GO1_23_SPEC_CLOSURE_AUDIT_R1_2026-07-23.json	.review/FIDO_GO1_23_SPEC_CLOSURE_AUDIT_TERMINAL_2026-07-23.json	json-pointer	`/judgment_not_certified`	key-presence
EVID-09	heading-manifest	.review/FIDO_GO1_23_SPEC_HEADING_MANIFEST_2026-07-23.tsv	.review/FIDO_GO1_23_SPEC_HEADING_MANIFEST_2026-07-23.tsv	whole-file	—	raw-bytes
EVID-09	grammar-manifest	.review/FIDO_GO1_23_SPEC_GRAMMAR_MANIFEST_2026-07-23.tsv	.review/FIDO_GO1_23_SPEC_GRAMMAR_MANIFEST_2026-07-23.tsv	whole-file	—	raw-bytes
EVID-10	nan-map-row	.review/FIDO_GO1_23_SPEC_CLOSURE_LEDGER_2026-07-23.csv	.review/FIDO_GO1_23_SPEC_CLOSURE_LEDGER_2026-07-23.csv	table-row	`SPEC-124`	named-fields {disposition, representation}
EVID-10	struct-tag-row	.review/FIDO_GO1_23_SPEC_CLOSURE_LEDGER_2026-07-23.csv	.review/FIDO_GO1_23_SPEC_CLOSURE_LEDGER_2026-07-23.csv	table-row	`SPEC-026`	named-fields {disposition, representation}
EVID-10	struct-tag-fixtures	.review/FIDO_GO1_23_SPEC_CLOSURE_ARCHITECTURE_PLAN_2026-07-23.md	.review/FIDO_GO1_23_SPEC_CLOSURE_ARCHITECTURE_PLAN_2026-07-23.md	anchored-region	`Required struct-tag fixtures:` … `pinned rule permits it.`	anchored-normalized-text
EVID-10	nan-map-fixture	.review/FIDO_GO1_23_SPEC_CLOSURE_ARCHITECTURE_PLAN_2026-07-23.md	.review/FIDO_GO1_23_SPEC_CLOSURE_ARCHITECTURE_PLAN_2026-07-23.md	anchored-region	`- a NaN-keyed map entry is insertable` … `removed by \`clear\`;`	anchored-normalized-text
EVID-11	sc21-contract	.review/FIDO_GO1_23_SPEC_CLOSURE_ARCHITECTURE_PLAN_2026-07-23.md	.review/FIDO_GO1_23_SPEC_CLOSURE_ARCHITECTURE_PLAN_2026-07-23.md	markdown-section	`### 25.22 \`SC-21-PROOF-COST-INTERNALS\``	normalized-section-text
EVID-12	uintptr-pre-row	.review/FIDO_GO1_23_SPEC_CLOSURE_LEDGER_2026-07-23.csv	.review/FIDO_GO1_23_SPEC_CLOSURE_LEDGER_2026-07-23.csv	table-row	`PRE-22`	named-fields {disposition, price}
