# FIDO FCB — living document; derived reference, not authority; code and gated theorems are sole implementation authority.
# LAT-X004 is closed by the option-(ii) rounding-invariant-domain policy.
# Canonical live location: .review/fcb/current/ in the exact Git ref used for the task; project libraries contain bootstrap shims only.
# Regenerate, verify, and commit affected FCB files in Git after checkpoint acceptance or an accepted amendment.
# Candidate rows LAT-001.. are mechanically extracted from the frozen manifest. LAT-X rows are required supplemental observable-latitude rows whose governing sentences do not contain an extraction trigger.
latitude_id	source	anchor	matched_terms	sentence	disposition	owner_row	contract	justification	acceptance_observation	fido_elaboration_obligation	implementation_status	implementing_checkpoint	decision_status	rob_choice	rob_countersign
LAT-014	Go spec	String_literals	may	Within the quotes, any character may appear except back quote.	NOT-LATITUDE	SPEC-017	§25.3 SC-02-CONSTANTS-LITERALS; §25.2 SC-01-SOURCE-LEXICAL-RENDER	This describes a source-program choice or admitted source form that is represented by the owning syntax and facts; it is not an implementation choice for one fixed program.					DISPOSITIONED		
LAT-015	Go spec	String_literals	may	The value of a raw string literal is the string composed of the uninterpreted (implicitly UTF-8-encoded) characters between the quotes; in particular, backslashes have no special meaning and the string may contain newlines.	OUT-COVERED	SPEC-X002	§25.20 SC-19-OUT-BOUNDARIES	This latitude lies wholly inside existing OUT row SPEC-X002; inclusion requires paying that row's written price before implementation.					DISPOSITIONED		
LAT-016	Go spec	String_literals	may	Within the quotes, any character may appear except newline and unescaped double quote.	NOT-LATITUDE	SPEC-017	§25.3 SC-02-CONSTANTS-LITERALS; §25.2 SC-01-SOURCE-LEXICAL-RENDER	This describes a source-program choice or admitted source form that is represented by the owning syntax and facts; it is not an implementation choice for one fixed program.					DISPOSITIONED		
LAT-017	Go spec	Constants	may	Constants may be typed or untyped.	NOT-LATITUDE	SPEC-018	§25.3 SC-02-CONSTANTS-LITERALS	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.					DISPOSITIONED		
LAT-018	Go spec	Constants	may	A constant may be given a type explicitly by a constant declaration or conversion, or implicitly when used in a variable declaration or an assignment statement or as an operand in an expression.	NOT-LATITUDE	SPEC-018	§25.3 SC-02-CONSTANTS-LITERALS	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.					DISPOSITIONED		
LAT-019	Go spec	Constants	may, implementation restriction	Implementation restriction: Although numeric constants have arbitrary precision in the language, a compiler may implement them using an internal representation with limited precision.	ACCEPTANCE-ALIGNMENT	SPEC-018	§25.23 SC-22-ACCEPTANCE-ALIGNMENT	The pinned compiler accepts the exact 511-bit shift fixture and rejects the 512-bit fixture; Fido must reject every constant expression outside the accepted pinned profile before CompilableProgram construction.	fixtures lat019_shift_511_accept (status 0) and lat019_shift_512_reject (status 1)	Reject constant expressions outside the countersigned accepted precision domain with diagnostic FIDO-E-CONSTANT-PRECISION.	PENDING-IMPLEMENTATION	C6	DISPOSITIONED		
LAT-020	Go spec	Constants	at least	Represent integer constants with at least 256 bits.	NOT-LATITUDE	SPEC-018	§25.3 SC-02-CONSTANTS-LITERALS	This states a lower bound or existential condition inside the rule, not an implementation choice among behaviors for one accepted program.					DISPOSITIONED		
LAT-021	Go spec	Constants	at least	Represent floating-point constants, including the parts of a complex constant, with a mantissa of at least 256 bits and a signed binary exponent of at least 16 bits.	NOT-LATITUDE	SPEC-018	§25.3 SC-02-CONSTANTS-LITERALS	This states a lower bound or existential condition inside the rule, not an implementation choice among behaviors for one accepted program.					DISPOSITIONED		
LAT-022	Go spec	Variables	may	Structured variables of array, slice, and struct types have elements and fields that may be addressed individually.	NOT-LATITUDE	SPEC-019	§25.4 SC-03-BINDINGS-DECLARATIONS-BLANK; §25.9 SC-08-STORE-PLACES-CONVERSIONS	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.					DISPOSITIONED		
LAT-023	Go spec	Variables	may	The dynamic type may vary during execution but values stored in interface variables are always assignable to the static type of the variable.	NOT-LATITUDE	SPEC-019	§25.4 SC-03-BINDINGS-DECLARATIONS-BLANK; §25.9 SC-08-STORE-PLACES-CONVERSIONS	This describes ordinary deterministic state variation caused by program steps, not implementation latitude.					DISPOSITIONED		
LAT-024	Go spec	Types	may	A type may be denoted by a type name, if it has one, which must be followed by type arguments if the type is generic.	NOT-LATITUDE	SPEC-020	§25.5 SC-04-TYPES-PROPERTIES-GENERICS	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.					DISPOSITIONED		
LAT-025	Go spec	Types	may	A type may also be specified using a type literal, which composes a type from existing types.	NOT-LATITUDE	SPEC-020	§25.5 SC-04-TYPES-PROPERTIES-GENERICS	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.					DISPOSITIONED		
LAT-026	Go spec	Types	may	Composite types—array, struct, pointer, function, interface, slice, map, and channel types—may be constructed using type literals.	NOT-LATITUDE	SPEC-020	§25.5 SC-04-TYPES-PROPERTIES-GENERICS	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.					DISPOSITIONED		
LAT-027	Go spec	Numeric_types	implementation-specific	There is also a set of predeclared integer types with implementation-specific sizes:	NOT-LATITUDE	SPEC-022	§25.5 SC-04-TYPES-PROPERTIES-GENERICS	The implementation parameter is fixed by the pinned 64-bit target for accepted programs; it is not a per-run Step choice. uintptr remains separately OUT.					DISPOSITIONED		
LAT-028	Go spec	Numeric_types	may	For instance, int32 and int are not the same type even though they may have the same size on a particular architecture.	NOT-LATITUDE	SPEC-022	§25.5 SC-04-TYPES-PROPERTIES-GENERICS	This is explanatory or example wording; it grants no alternate semantics.					DISPOSITIONED		
LAT-029	Go spec	Array_types	may	Array types are always one-dimensional but may be composed to form multi-dimensional types.	NOT-LATITUDE	SPEC-024	§25.5 SC-04-TYPES-PROPERTIES-GENERICS	This describes representable value or type structure, not a choice between permitted executions of one program.					DISPOSITIONED		
LAT-030	Go spec	Array_types	may	An array type T may not have an element of type T, or of a type containing T as a component, directly or indirectly, if those containing types are only array or struct types.	NOT-LATITUDE	SPEC-024	§25.5 SC-04-TYPES-PROPERTIES-GENERICS	This is a source-validity prohibition or placement restriction, not implementation latitude.					DISPOSITIONED		
LAT-031	Go spec	Slice_types	may	The length of a slice s can be discovered by the built-in function len; unlike with arrays it may change during execution.	NOT-LATITUDE	SPEC-025	§25.5 SC-04-TYPES-PROPERTIES-GENERICS	This describes ordinary deterministic state variation caused by program steps, not implementation latitude.					DISPOSITIONED		
LAT-032	Go spec	Slice_types	may	The slice index of a given element may be less than the index of the same element in the underlying array.	NOT-LATITUDE	SPEC-025	§25.5 SC-04-TYPES-PROPERTIES-GENERICS	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.					DISPOSITIONED		
LAT-033	Go spec	Slice_types	may	The array underlying a slice may extend past the end of the slice.	NOT-LATITUDE	SPEC-025	§25.5 SC-04-TYPES-PROPERTIES-GENERICS	This describes representable value or type structure, not a choice between permitted executions of one program.					DISPOSITIONED		
LAT-034	Go spec	Slice_types	may	A new, initialized slice value for a given element type T may be made using the built-in function make, which takes a slice type and parameters specifying the length and optionally the capacity.	NOT-LATITUDE	SPEC-025	§25.5 SC-04-TYPES-PROPERTIES-GENERICS	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.					DISPOSITIONED		
LAT-035	Go spec	Slice_types	may	Like arrays, slices are always one-dimensional but may be composed to construct higher-dimensional objects.	NOT-LATITUDE	SPEC-025	§25.5 SC-04-TYPES-PROPERTIES-GENERICS	This describes representable value or type structure, not a choice between permitted executions of one program.					DISPOSITIONED		
LAT-036	Go spec	Slice_types	may	With arrays of arrays, the inner arrays are, by construction, always the same length; however with slices of slices (or arrays of slices), the inner lengths may vary dynamically.	NOT-LATITUDE	SPEC-025	§25.5 SC-04-TYPES-PROPERTIES-GENERICS	This describes representable value or type structure, not a choice between permitted executions of one program.					DISPOSITIONED		
LAT-037	Go spec	Struct_types	may	Field names may be specified explicitly (IdentifierList) or implicitly (EmbeddedField).	NOT-LATITUDE	SPEC-026	§25.5 SC-04-TYPES-PROPERTIES-GENERICS	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.					DISPOSITIONED		
LAT-038	Go spec	Struct_types	may	An embedded field must be specified as a type name T or as a pointer to a non-interface type name *T, and T itself may not be a pointer type.	NOT-LATITUDE	SPEC-026	§25.5 SC-04-TYPES-PROPERTIES-GENERICS	This is a source-validity prohibition or placement restriction, not implementation latitude.					DISPOSITIONED		
LAT-039	Go spec	Struct_types	may	A field declaration may be followed by an optional string literal tag, which becomes an attribute for all the fields in the corresponding field declaration.	NOT-LATITUDE	SPEC-026	§25.5 SC-04-TYPES-PROPERTIES-GENERICS	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.					DISPOSITIONED		
LAT-040	Go spec	Struct_types	may	A struct type T may not contain a field of type T, or of a type containing T as a component, directly or indirectly, if those containing types are only array or struct types.	NOT-LATITUDE	SPEC-026	§25.5 SC-04-TYPES-PROPERTIES-GENERICS	This is a source-validity prohibition or placement restriction, not implementation latitude.					DISPOSITIONED		
LAT-041	Go spec	Function_types	may	Parameter and result lists are always parenthesized except that if there is exactly one unnamed result it may be written as an unparenthesized type.	NOT-LATITUDE	SPEC-028	§25.5 SC-04-TYPES-PROPERTIES-GENERICS	This describes a source-program choice or admitted source form that is represented by the owning syntax and facts; it is not an implementation choice for one fixed program.					DISPOSITIONED		
LAT-042	Go spec	Function_types	may	The final incoming parameter in a function signature may have a type prefixed with ....	NOT-LATITUDE	SPEC-028	§25.5 SC-04-TYPES-PROPERTIES-GENERICS	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.					DISPOSITIONED		
LAT-043	Go spec	Function_types	may	A function with such a parameter is called variadic and may be invoked with zero or more arguments for that parameter.	NOT-LATITUDE	SPEC-028	§25.5 SC-04-TYPES-PROPERTIES-GENERICS	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.					DISPOSITIONED		
LAT-044	Go spec	Basic_interfaces	may	More than one type may implement an interface.	NOT-LATITUDE	SPEC-030	§25.5 SC-04-TYPES-PROPERTIES-GENERICS; §25.14 SC-13-INTERFACE-GENERIC-CLOSURE	This describes a source-program choice or admitted source form that is represented by the owning syntax and facts; it is not an implementation choice for one fixed program.					DISPOSITIONED		
LAT-045	Go spec	Basic_interfaces	may	(where T stands for either S1 or S2) then the File interface is implemented by both S1 and S2, regardless of what other methods S1 and S2 may have or share.	NOT-LATITUDE	SPEC-030	§25.5 SC-04-TYPES-PROPERTIES-GENERICS; §25.14 SC-13-INTERFACE-GENERIC-CLOSURE	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.					DISPOSITIONED		
LAT-046	Go spec	Basic_interfaces	may	Any given type may implement several distinct interfaces.	NOT-LATITUDE	SPEC-030	§25.5 SC-04-TYPES-PROPERTIES-GENERICS; §25.14 SC-13-INTERFACE-GENERIC-CLOSURE	This describes a source-program choice or admitted source form that is represented by the owning syntax and facts; it is not an implementation choice for one fixed program.					DISPOSITIONED		
LAT-047	Go spec	Embedded_interfaces	may	In a slightly more general form an interface T may use a (possibly qualified) interface type name E as an interface element.	NOT-LATITUDE	SPEC-031	§25.5 SC-04-TYPES-PROPERTIES-GENERICS; §25.14 SC-13-INTERFACE-GENERIC-CLOSURE	This describes a source-program choice or admitted source form that is represented by the owning syntax and facts; it is not an implementation choice for one fixed program.					DISPOSITIONED		
LAT-048	Go spec	General_interfaces	may	In their most general form, an interface element may also be an arbitrary type term T, or a term of the form ~T specifying the underlying type T, or a union of terms t1|t2|…|tn [Go 1.18].	NOT-LATITUDE	SPEC-032	§25.5 SC-04-TYPES-PROPERTIES-GENERICS; §25.14 SC-13-INTERFACE-GENERIC-CLOSURE	This is a language-history or availability statement; the current Go 1.23 construct is dispositioned by its current-spec owner row.					DISPOSITIONED		
LAT-049	Go spec	General_interfaces	implementation restriction	Implementation restriction: A union (with more than one term) cannot contain the predeclared identifier comparable or interfaces that specify methods, or embed comparable or interfaces that specify methods.	ACCEPTANCE-ALIGNMENT	SPEC-032	§25.23 SC-22-ACCEPTANCE-ALIGNMENT; §25.5 SC-04-TYPES-PROPERTIES-GENERICS; §25.14 SC-13-INTERFACE-GENERIC-CLOSURE	The pinned compiler rejects a multi-term union containing an interface with methods; Fido must make that union unrepresentable in accepted general-interface facts.	fixture lat049_union_method_reject (status 1)	Reject a multi-term union containing comparable, methods, or an embedded interface that contains either, with diagnostic FIDO-E-UNION-TERM-RESTRICTION.	PENDING-IMPLEMENTATION	C13	DISPOSITIONED		
LAT-050	Go spec	General_interfaces	may	Interfaces that are not basic may only be used as type constraints, or as elements of other interfaces used as constraints.	NOT-LATITUDE	SPEC-032	§25.5 SC-04-TYPES-PROPERTIES-GENERICS; §25.14 SC-13-INTERFACE-GENERIC-CLOSURE	This is a source-validity prohibition or placement restriction, not implementation latitude.					DISPOSITIONED		
LAT-051	Go spec	General_interfaces	may	An interface type T may not embed a type element that is, contains, or embeds T, directly or indirectly.	NOT-LATITUDE	SPEC-032	§25.5 SC-04-TYPES-PROPERTIES-GENERICS; §25.14 SC-13-INTERFACE-GENERIC-CLOSURE	This is a source-validity prohibition or placement restriction, not implementation latitude.					DISPOSITIONED		
LAT-052	Go spec	General_interfaces	may	// illegal: Bad may not embed itself type Bad interface { Bad } // illegal: Bad1 may not embed itself using Bad2 type Bad1 interface { Bad2 } type Bad2 interface { Bad1 } // illegal: Bad3 may not embed a union containing Bad3 type Bad3 interface { ~int | ~string | Bad3 } // illegal: Bad4 may not embed an array containing Bad4 as element type type Bad4 interface { [10]Bad4 }	NOT-LATITUDE	SPEC-032	§25.5 SC-04-TYPES-PROPERTIES-GENERICS; §25.14 SC-13-INTERFACE-GENERIC-CLOSURE	This is a source-validity prohibition or placement restriction, not implementation latitude.					DISPOSITIONED		
LAT-053	Go spec	Map_types	may	For a map m, it can be discovered using the built-in function len and may change during execution.	NOT-LATITUDE	SPEC-034	§25.5 SC-04-TYPES-PROPERTIES-GENERICS; §25.9 SC-08-STORE-PLACES-CONVERSIONS; §25.12 SC-11-MAP-ITERATION-NONDET	This describes ordinary deterministic state variation caused by program steps, not implementation latitude.					DISPOSITIONED		
LAT-054	Go spec	Map_types	may	Elements may be added during execution using assignments and retrieved with index expressions; they may be removed with the delete and clear built-in function.	NOT-LATITUDE	SPEC-034	§25.5 SC-04-TYPES-PROPERTIES-GENERICS; §25.9 SC-08-STORE-PLACES-CONVERSIONS; §25.12 SC-11-MAP-ITERATION-NONDET	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.					DISPOSITIONED		
LAT-055	Go spec	Map_types	may	A nil map is equivalent to an empty map except that no elements may be added.	NOT-LATITUDE	SPEC-034	§25.5 SC-04-TYPES-PROPERTIES-GENERICS; §25.9 SC-08-STORE-PLACES-CONVERSIONS; §25.12 SC-11-MAP-ITERATION-NONDET	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.					DISPOSITIONED		
LAT-056	Go spec	Channel_types	may	A channel may be constrained only to send or only to receive by assignment or explicit conversion.	NOT-LATITUDE	SPEC-035	§25.5 SC-04-TYPES-PROPERTIES-GENERICS; §25.11 SC-10-GOROUTINES-CHANNELS-SELECT	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.					DISPOSITIONED		
LAT-057	Go spec	Channel_types	may	A channel may be closed with the built-in function close.	NOT-LATITUDE	SPEC-035	§25.5 SC-04-TYPES-PROPERTIES-GENERICS; §25.11 SC-10-GOROUTINES-CHANNELS-SELECT	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.					DISPOSITIONED		
LAT-058	Go spec	Channel_types	may	A single channel may be used in send statements, receive operations, and calls to the built-in functions cap and len by any number of goroutines without further synchronization.	NOT-LATITUDE	SPEC-035	§25.5 SC-04-TYPES-PROPERTIES-GENERICS; §25.11 SC-10-GOROUTINES-CHANNELS-SELECT	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.					DISPOSITIONED		
LAT-059	Go spec	Core_types	may	It exists solely to describe the behavior of some operations that read from a sequence of bytes, which may be a byte slice or a string.	NOT-LATITUDE	SPEC-038	§25.5 SC-04-TYPES-PROPERTIES-GENERICS	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.					DISPOSITIONED		
LAT-060	Go spec	Assignability	at least	V and T have identical underlying types but are not type parameters and at least one of V or T is not a named type.	NOT-LATITUDE	SPEC-040	§25.5 SC-04-TYPES-PROPERTIES-GENERICS	This states a lower bound or existential condition inside the rule, not an implementation choice among behaviors for one accepted program.					DISPOSITIONED		
LAT-061	Go spec	Assignability	at least	V and T are channel types with identical element types, V is a bidirectional channel, and at least one of V or T is not a named type.	NOT-LATITUDE	SPEC-040	§25.5 SC-04-TYPES-PROPERTIES-GENERICS	This states a lower bound or existential condition inside the rule, not an implementation choice among behaviors for one accepted program.					DISPOSITIONED		
LAT-062	Go spec	Declarations_and_scope	may	No identifier may be declared twice in the same block, and no identifier may be declared in both the file and package block.	NOT-LATITUDE	SPEC-044	§25.4 SC-03-BINDINGS-DECLARATIONS-BLANK	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.					DISPOSITIONED		
LAT-063	Go spec	Declarations_and_scope	may	The blank identifier may be used like any other identifier in a declaration, but it does not introduce a binding and thus is not declared.	NOT-LATITUDE	SPEC-044	§25.4 SC-03-BINDINGS-DECLARATIONS-BLANK	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.					DISPOSITIONED		
LAT-064	Go spec	Declarations_and_scope	may	In the package block, the identifier init may only be used for init function declarations, and like the blank identifier it does not introduce a new binding.	NOT-LATITUDE	SPEC-044	§25.4 SC-03-BINDINGS-DECLARATIONS-BLANK	This is a source-validity prohibition or placement restriction, not implementation latitude.					DISPOSITIONED		
LAT-065	Go spec	Declarations_and_scope	may	An identifier declared in a block may be redeclared in an inner block.	NOT-LATITUDE	SPEC-044	§25.4 SC-03-BINDINGS-DECLARATIONS-BLANK	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.					DISPOSITIONED		
LAT-066	Go spec	Exported_identifiers	may	An identifier may be exported to permit access to it from another package.	NOT-LATITUDE	SPEC-048	§25.4 SC-03-BINDINGS-DECLARATIONS-BLANK	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.					DISPOSITIONED		
LAT-067	Go spec	Constant_declarations	may	Within a parenthesized const declaration list the expression list may be omitted from any but the first ConstSpec.	NOT-LATITUDE	SPEC-050	§25.4 SC-03-BINDINGS-DECLARATIONS-BLANK	This describes a source-program choice or admitted source form that is represented by the owning syntax and facts; it is not an implementation choice for one fixed program.					DISPOSITIONED		
LAT-068	Go spec	Type_definitions	may	A defined type may have methods associated with it.	NOT-LATITUDE	SPEC-054	§25.4 SC-03-BINDINGS-DECLARATIONS-BLANK; §25.5 SC-04-TYPES-PROPERTIES-GENERICS	This describes a source-program choice or admitted source form that is represented by the owning syntax and facts; it is not an implementation choice for one fixed program.					DISPOSITIONED		
LAT-069	Go spec	Type_definitions	may	Type definitions may be used to define different boolean, numeric, or string types and associate methods with them:	NOT-LATITUDE	SPEC-054	§25.4 SC-03-BINDINGS-DECLARATIONS-BLANK; §25.5 SC-04-TYPES-PROPERTIES-GENERICS	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.					DISPOSITIONED		
LAT-070	Go spec	Type_definitions	may	A generic type may also have methods associated with it.	NOT-LATITUDE	SPEC-054	§25.4 SC-03-BINDINGS-DECLARATIONS-BLANK; §25.5 SC-04-TYPES-PROPERTIES-GENERICS	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.					DISPOSITIONED		
LAT-071	Go spec	Type_parameter_declarations	may	Type parameters may also be declared by the receiver specification of a method declaration associated with a generic type.	NOT-LATITUDE	SPEC-055	§25.4 SC-03-BINDINGS-DECLARATIONS-BLANK; §25.5 SC-04-TYPES-PROPERTIES-GENERICS	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.					DISPOSITIONED		
LAT-072	Go spec	Type_parameter_declarations	may	Within a type parameter list of a generic type T, a type constraint may not (directly, or indirectly through the type parameter list of another generic type) refer to T.	NOT-LATITUDE	SPEC-055	§25.4 SC-03-BINDINGS-DECLARATIONS-BLANK; §25.5 SC-04-TYPES-PROPERTIES-GENERICS	This is a source-validity prohibition or placement restriction, not implementation latitude.					DISPOSITIONED		
LAT-073	Go spec	Type_constraints	may	If the constraint is an interface literal of the form interface{E} where E is an embedded type element (not a method), in a type parameter list the enclosing interface{ … } may be omitted for convenience:	NOT-LATITUDE	SPEC-056	§25.4 SC-03-BINDINGS-DECLARATIONS-BLANK; §25.5 SC-04-TYPES-PROPERTIES-GENERICS	This describes a source-program choice or admitted source form that is represented by the owning syntax and facts; it is not an implementation choice for one fixed program.					DISPOSITIONED		
LAT-074	Go spec	Type_constraints	may	The comparable interface and interfaces that (directly or indirectly) embed comparable may only be used as type constraints.	NOT-LATITUDE	SPEC-056	§25.4 SC-03-BINDINGS-DECLARATIONS-BLANK; §25.5 SC-04-TYPES-PROPERTIES-GENERICS	This is a source-validity prohibition or placement restriction, not implementation latitude.					DISPOSITIONED		
LAT-075	Go spec	Satisfying_a_type_constraint	may	As an exception, a strictly comparable type constraint may also be satisfied by a comparable (not necessarily strictly comparable) type argument [Go 1.20].	NOT-LATITUDE	SPEC-057	§25.4 SC-03-BINDINGS-DECLARATIONS-BLANK; §25.5 SC-04-TYPES-PROPERTIES-GENERICS	This is a language-history or availability statement; the current Go 1.23 construct is dispositioned by its current-spec owner row.					DISPOSITIONED		
