# Repair-15 rename ledger — implementation checklist, NOT a second authority.
# Basis: A005/D-25 as completed by .review/C4_IMPLEMENTATION_REPAIR_15.md.
# Casing: type/Prop-denoting Definitions keep UpperCamelCase (§3.2 requires Index.Snapshot.Syntax,
# a Definition, to stay so); PROOFS take lower_snake_case, and a CamelCase concept inside a proof
# name becomes lower-case words (§3.1: "FilesEqual theorem suffixes -> files_equal").
# Delete before the final freeze; Git history retains the work.
file	line	kind	old	old_qualified	new_qualified	basis
Index.v	1027	Lemma	Fresh_weaken	Index.Fresh_weaken	Index.fresh_weaken	derived: §3.1 lower_snake_case proof/value name
Index.v	1031	Lemma	Fresh_empty	Index.Fresh_empty	Index.fresh_empty	derived: §3.1 lower_snake_case proof/value name
Index.v	1170	Lemma	pos_seq_In	Index.pos_seq_In	Index.pos_seq_in	derived: §3.1 lower_snake_case proof/value name
Index.v	1183	Lemma	pos_seq_NoDup	Index.pos_seq_NoDup	Index.pos_seq_no_duplicates	derived: §3.1 lower_snake_case proof/value name
Index.v	1405	Lemma	child_enum_SS	Index.child_enum_SS	Index.child_enum_strongly_sorted	directive §3.2/3.3/3.4
Index.v	1572	Definition	decimalfloat_eq_dec	Index.decimalfloat_eq_dec	Index.float_decimal_eq_dec	directive §3.2/3.3/3.4
Index.v	1577	Definition	decimalcomplex_eq_dec	Index.decimalcomplex_eq_dec	Index.complex_decimal_eq_dec	directive §3.2/3.3/3.4
Index.v	1579	Definition	supportedtypename_eq_dec	Index.supportedtypename_eq_dec	Index.supported_type_eq_dec	directive §3.2/3.3/3.4
Index.v	1584	Definition	typesyntax_eq_dec	Index.typesyntax_eq_dec	Index.type_expr_eq_dec	directive §3.2/3.3/3.4
Index.v	1590	Definition	goexpr_eq_dec	Index.goexpr_eq_dec	Index.expression_eq_dec	directive §3.2/3.3/3.4
Index.v	1597	Definition	gostmt_eq_dec	Index.gostmt_eq_dec	Index.statement_eq_dec	directive §3.2/3.3/3.4
Index.v	1599	Definition	godecl_eq_dec	Index.godecl_eq_dec	Index.declaration_eq_dec	directive §3.2/3.3/3.4
Index.v	1601	Definition	packageclause_eq_dec	Index.packageclause_eq_dec	Index.package_clause_eq_dec	directive §3.2/3.3/3.4
Index.v	1603	Definition	importspec_eq_dec	Index.importspec_eq_dec	Index.import_spec_eq_dec	directive §3.2/3.3/3.4
Index.v	1605	Definition	gosourcefile_eq_dec	Index.gosourcefile_eq_dec	Index.source_file_eq_dec	directive §3.2/3.3/3.4
Index.v	1611	Definition	option_gosourcefile_eq_dec	Index.option_gosourcefile_eq_dec	Index.optional_source_file_eq_dec	directive §3.2/3.3/3.4
Index.v	1639	Definition	nodekey_eqb	Index.nodekey_eqb	Index.key_equalb	directive §3.2/3.3/3.4
Index.v	2039	Lemma	SS_app_pos	Index.SS_app_pos	Index.strongly_sorted_append_positive	directive §3.2/3.3/3.4
Index.v	2169	Lemma	SS_nodup	Index.SS_nodup	Index.strongly_sorted_no_duplicates	directive §3.2/3.3/3.4
Index.v	2559	Record	FileRef_T	Index.FileRef_T	Index.FileRefRepresentation	directive §3.2/3.3/3.4
Index.v	2569	Record	NodeRef_T	Index.NodeRef_T	Index.NodeRefRepresentation	directive §3.2/3.3/3.4
Index.v	2585	Record	SyntaxIndex_T	Index.SyntaxIndex_T	Index.SyntaxRepresentation	directive §3.2/3.3/3.4
Index.v	2600	Definition	ref_fi_opt	Index.ref_fi_opt	Index.ref_file_index_opt	directive §3.2/3.3/3.4
Index.v	2602	Lemma	ref_fi_some	Index.ref_fi_some	Index.ref_file_index_some	directive §3.2/3.3/3.4
Index.v	2605	Lemma	ref_fi_some'	Index.ref_fi_some'	Index.ref_file_index_some'	directive §3.2/3.3/3.4
Index.v	2607	Definition	ref_fi	Index.ref_fi	Index.ref_file_index	directive §3.2/3.3/3.4
Index.v	2609	Lemma	ref_fi_eq	Index.ref_fi_eq	Index.ref_file_index_eq	directive §3.2/3.3/3.4
Index.v	3039	Lemma	ref_fi_table_same_file	Index.ref_fi_table_same_file	Index.ref_file_index_table_same_file	directive §3.2/3.3/3.4
Index.v	3748	Lemma	nodekey_compare_eq	Index.nodekey_compare_eq	Index.key_compare_equal	directive §3.2/3.3/3.4
Index.v	3751	Lemma	nodekeymap_add_eq	Index.nodekeymap_add_eq	Index.key_map_add_equal	directive §3.2/3.3/3.4
Index.v	3755	Lemma	nodekeymap_add_neq	Index.nodekeymap_add_neq	Index.key_map_add_unequal	directive §3.2/3.3/3.4
Index.v	3762	Lemma	nodekey_eqlistA_eqke_eq	Index.nodekey_eqlistA_eqke_eq	Index.key_equal_list_key_element_equal	directive §3.2/3.3/3.4
Index.v	3770	Lemma	nodekeymap_elements_Equal	Index.nodekeymap_elements_Equal	Index.key_map_elements_equal	directive §3.2/3.3/3.4
Integer.v	96	Lemma	Int_neq_Int64	Integer.Int_neq_Int64	Integer.int_neq_int64	derived: §3.1 lower_snake_case proof/value name
Integer.v	99	Lemma	Uint_neq_Uint64	Integer.Uint_neq_Uint64	Integer.uint_neq_uint64	derived: §3.1 lower_snake_case proof/value name
Integer.v	102	Lemma	Int_range_eq_Int64	Integer.Int_range_eq_Int64	Integer.int_range_eq_int64	derived: §3.1 lower_snake_case proof/value name
Integer.v	106	Lemma	Uint_range_eq_Uint64	Integer.Uint_range_eq_Uint64	Integer.uint_range_eq_uint64	derived: §3.1 lower_snake_case proof/value name
Integer.v	111	Lemma	Int_bits_64	Integer.Int_bits_64	Integer.int_bits_64	derived: §3.1 lower_snake_case proof/value name
Integer.v	112	Lemma	Uint_bits_64	Integer.Uint_bits_64	Integer.uint_bits_64	derived: §3.1 lower_snake_case proof/value name
Render.v	981	Lemma	go_int_lit_EInt	Render.go_int_lit_EInt	Render.go_int_lit_integer_literal	derived: §3.1 lower_snake_case proof/value name
Render.v	988	Lemma	go_int_lit_ENeg	Render.go_int_lit_ENeg	Render.go_int_lit_negated_integer_literal	derived: §3.1 lower_snake_case proof/value name
Render.v	1199	Lemma	read_go_int_EInt	Render.read_go_int_EInt	Render.read_go_int_integer_literal	derived: §3.1 lower_snake_case proof/value name
Render.v	1205	Lemma	read_go_int_ENeg	Render.read_go_int_ENeg	Render.read_go_int_negated_integer_literal	derived: §3.1 lower_snake_case proof/value name
Render.v	1318	Lemma	go_int_lit_decode_decimal_None	Render.go_int_lit_decode_decimal_None	Render.go_int_lit_decode_decimal_none	derived: §3.1 lower_snake_case proof/value name
Syntax.v	192	Lemma	FilesEqual_refl	Syntax.FilesEqual_refl	Syntax.files_equal_refl	derived: §3.1 lower_snake_case proof/value name
Syntax.v	194	Lemma	FilesEqual_sym	Syntax.FilesEqual_sym	Syntax.files_equal_sym	derived: §3.1 lower_snake_case proof/value name
Syntax.v	196	Lemma	FilesEqual_trans	Syntax.FilesEqual_trans	Syntax.files_equal_trans	derived: §3.1 lower_snake_case proof/value name
Typing.v	665	Lemma	forallb_Forall	Typing.forallb_Forall	Typing.forallb_iff_forall	directive §3.2/3.3/3.4
Typing.v	717	Lemma	Program_Equal	Typing.Program_Equal	Typing.program_equal	derived: §3.1 lower_snake_case proof/value name
Typing.v	725	Lemma	program_typedb_Equal	Typing.program_typedb_Equal	Typing.program_typedb_equal	derived: §3.1 lower_snake_case proof/value name
