# Observable-latitude rows: each specification sentence permitting more than one conforming behaviour, and
# the disposition that settles it. Derived reference, not authority. owner_row is the closure row that owns
# the construct; contract names an ARCHITECTURE.md section 9 proof contract; milestone names the milestone
# whose scope owns the row, or OUT when the owning closure row is a priced exclusion. An acceptance GATE is
# a separate earlier fact and lives in acceptance.tsv, so a row can be gated before its milestone. Human
# decisions live in DECISIONS.md. Neither is restated here.
latitude_id	source	anchor	matched_terms	sentence	disposition	owner_row	contract	justification	milestone
LAT-024	Go spec	Types	may	A type may be denoted by a type name, if it has one, which must be followed by type arguments if the type is generic.	NOT-LATITUDE	SPEC-020	SC-04	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program. C6 admits the plain type name; the type-argument requirement closes with generics.	C13
LAT-025	Go spec	Types	may	A type may also be specified using a type literal, which composes a type from existing types.	NOT-LATITUDE	SPEC-020	SC-04	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program. C6 admits no type literal; this closes with the last literal form.	C14
LAT-026	Go spec	Types	may	Composite types—array, struct, pointer, function, interface, slice, map, and channel types—may be constructed using type literals.	NOT-LATITUDE	SPEC-020	SC-04	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program. Each listed form lands at its own milestone; this row closes when the last does.	C14
LAT-027	Go spec	Numeric_types	implementation-specific	There is also a set of predeclared integer types with implementation-specific sizes:	NOT-LATITUDE	SPEC-022	SC-04	The implementation parameter is fixed by the pinned 64-bit target for accepted programs; it is not a per-run Step choice. uintptr remains separately OUT.	C6
LAT-028	Go spec	Numeric_types	may	For instance, int32 and int are not the same type even though they may have the same size on a particular architecture.	NOT-LATITUDE	SPEC-022	SC-04	This is explanatory or example wording; it grants no alternate semantics.	C6
LAT-029	Go spec	Array_types	may	Array types are always one-dimensional but may be composed to form multi-dimensional types.	NOT-LATITUDE	SPEC-024	SC-04	This describes representable value or type structure, not a choice between permitted executions of one program.	C10
LAT-030	Go spec	Array_types	may	An array type T may not have an element of type T, or of a type containing T as a component, directly or indirectly, if those containing types are only array or struct types.	NOT-LATITUDE	SPEC-024	SC-04	This is a source-validity prohibition or placement restriction, not implementation latitude.	C10
LAT-031	Go spec	Slice_types	may	The length of a slice s can be discovered by the built-in function len; unlike with arrays it may change during execution.	NOT-LATITUDE	SPEC-025	SC-04	This describes ordinary deterministic state variation caused by program steps, not implementation latitude.	C10
LAT-032	Go spec	Slice_types	may	The slice index of a given element may be less than the index of the same element in the underlying array.	NOT-LATITUDE	SPEC-025	SC-04	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.	C10
LAT-033	Go spec	Slice_types	may	The array underlying a slice may extend past the end of the slice.	NOT-LATITUDE	SPEC-025	SC-04	This describes representable value or type structure, not a choice between permitted executions of one program.	C10
LAT-034	Go spec	Slice_types	may	A new, initialized slice value for a given element type T may be made using the built-in function make, which takes a slice type and parameters specifying the length and optionally the capacity.	NOT-LATITUDE	SPEC-025	SC-04	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.	C10
LAT-035	Go spec	Slice_types	may	Like arrays, slices are always one-dimensional but may be composed to construct higher-dimensional objects.	NOT-LATITUDE	SPEC-025	SC-04	This describes representable value or type structure, not a choice between permitted executions of one program.	C10
LAT-036	Go spec	Slice_types	may	With arrays of arrays, the inner arrays are, by construction, always the same length; however with slices of slices (or arrays of slices), the inner lengths may vary dynamically.	NOT-LATITUDE	SPEC-025	SC-04	This describes representable value or type structure, not a choice between permitted executions of one program.	C10
LAT-037	Go spec	Struct_types	may	Field names may be specified explicitly (IdentifierList) or implicitly (EmbeddedField).	NOT-LATITUDE	SPEC-026	SC-04	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.	C10
LAT-038	Go spec	Struct_types	may	An embedded field must be specified as a type name T or as a pointer to a non-interface type name *T, and T itself may not be a pointer type.	NOT-LATITUDE	SPEC-026	SC-04	This is a source-validity prohibition or placement restriction, not implementation latitude.	C10
LAT-039	Go spec	Struct_types	may	A field declaration may be followed by an optional string literal tag, which becomes an attribute for all the fields in the corresponding field declaration.	NOT-LATITUDE	SPEC-026	SC-04	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.	C10
LAT-040	Go spec	Struct_types	may	A struct type T may not contain a field of type T, or of a type containing T as a component, directly or indirectly, if those containing types are only array or struct types.	NOT-LATITUDE	SPEC-026	SC-04	This is a source-validity prohibition or placement restriction, not implementation latitude.	C10
LAT-041	Go spec	Function_types	may	Parameter and result lists are always parenthesized except that if there is exactly one unnamed result it may be written as an unparenthesized type.	NOT-LATITUDE	SPEC-028	SC-04	This describes a source-program choice or admitted source form that is represented by the owning syntax and facts; it is not an implementation choice for one fixed program.	C9
LAT-042	Go spec	Function_types	may	The final incoming parameter in a function signature may have a type prefixed with ....	NOT-LATITUDE	SPEC-028	SC-04	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.	C9
LAT-043	Go spec	Function_types	may	A function with such a parameter is called variadic and may be invoked with zero or more arguments for that parameter.	NOT-LATITUDE	SPEC-028	SC-04	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.	C9
LAT-044	Go spec	Basic_interfaces	may	More than one type may implement an interface.	NOT-LATITUDE	SPEC-030	SC-04; SC-13	This describes a source-program choice or admitted source form that is represented by the owning syntax and facts; it is not an implementation choice for one fixed program.	C12
LAT-045	Go spec	Basic_interfaces	may	(where T stands for either S1 or S2) then the File interface is implemented by both S1 and S2, regardless of what other methods S1 and S2 may have or share.	NOT-LATITUDE	SPEC-030	SC-04; SC-13	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.	C12
LAT-046	Go spec	Basic_interfaces	may	Any given type may implement several distinct interfaces.	NOT-LATITUDE	SPEC-030	SC-04; SC-13	This describes a source-program choice or admitted source form that is represented by the owning syntax and facts; it is not an implementation choice for one fixed program.	C12
LAT-047	Go spec	Embedded_interfaces	may	In a slightly more general form an interface T may use a (possibly qualified) interface type name E as an interface element.	NOT-LATITUDE	SPEC-031	SC-04; SC-13	This describes a source-program choice or admitted source form that is represented by the owning syntax and facts; it is not an implementation choice for one fixed program.	C12
LAT-048	Go spec	General_interfaces	may	In their most general form, an interface element may also be an arbitrary type term T, or a term of the form ~T specifying the underlying type T, or a union of terms t1|t2|…|tn [Go 1.18].	NOT-LATITUDE	SPEC-032	SC-04; SC-13	This is a language-history or availability statement; the current Go 1.23 construct is dispositioned by its current-spec owner row.	C12
LAT-049	Go spec	General_interfaces	implementation restriction	Implementation restriction: A union (with more than one term) cannot contain the predeclared identifier comparable or interfaces that specify methods, or embed comparable or interfaces that specify methods.	ACCEPTANCE-ALIGNMENT	SPEC-032	SC-22; SC-04; SC-13	The pinned compiler rejects a multi-term union containing an interface with methods; Fido must make that union unrepresentable in accepted general-interface facts.	C12
LAT-050	Go spec	General_interfaces	may	Interfaces that are not basic may only be used as type constraints, or as elements of other interfaces used as constraints.	NOT-LATITUDE	SPEC-032	SC-04; SC-13	This is a source-validity prohibition or placement restriction, not implementation latitude.	C12
LAT-051	Go spec	General_interfaces	may	An interface type T may not embed a type element that is, contains, or embeds T, directly or indirectly.	NOT-LATITUDE	SPEC-032	SC-04; SC-13	This is a source-validity prohibition or placement restriction, not implementation latitude.	C12
LAT-052	Go spec	General_interfaces	may	// illegal: Bad may not embed itself type Bad interface { Bad } // illegal: Bad1 may not embed itself using Bad2 type Bad1 interface { Bad2 } type Bad2 interface { Bad1 } // illegal: Bad3 may not embed a union containing Bad3 type Bad3 interface { ~int | ~string | Bad3 } // illegal: Bad4 may not embed an array containing Bad4 as element type type Bad4 interface { [10]Bad4 }	NOT-LATITUDE	SPEC-032	SC-04; SC-13	This is a source-validity prohibition or placement restriction, not implementation latitude.	C12
LAT-053	Go spec	Map_types	may	For a map m, it can be discovered using the built-in function len and may change during execution.	NOT-LATITUDE	SPEC-034	SC-04; SC-08; SC-11	This describes ordinary deterministic state variation caused by program steps, not implementation latitude.	C10
LAT-054	Go spec	Map_types	may	Elements may be added during execution using assignments and retrieved with index expressions; they may be removed with the delete and clear built-in function.	NOT-LATITUDE	SPEC-034	SC-04; SC-08; SC-11	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.	C10
LAT-055	Go spec	Map_types	may	A nil map is equivalent to an empty map except that no elements may be added.	NOT-LATITUDE	SPEC-034	SC-04; SC-08; SC-11	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.	C10
LAT-056	Go spec	Channel_types	may	A channel may be constrained only to send or only to receive by assignment or explicit conversion.	NOT-LATITUDE	SPEC-035	SC-04; SC-10	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.	C14
LAT-057	Go spec	Channel_types	may	A channel may be closed with the built-in function close.	NOT-LATITUDE	SPEC-035	SC-04; SC-10	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.	C14
LAT-058	Go spec	Channel_types	may	A single channel may be used in send statements, receive operations, and calls to the built-in functions cap and len by any number of goroutines without further synchronization.	NOT-LATITUDE	SPEC-035	SC-04; SC-10	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.	C14
LAT-059	Go spec	Core_types	may	It exists solely to describe the behavior of some operations that read from a sequence of bytes, which may be a byte slice or a string.	NOT-LATITUDE	SPEC-038	SC-04	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program. Core types are a type-parameter concept and follow SPEC-038 to generics.	C13
LAT-060	Go spec	Assignability	at least	V and T have identical underlying types but are not type parameters and at least one of V or T is not a named type.	NOT-LATITUDE	SPEC-040	SC-04	This states a lower bound or existential condition inside the rule, not an implementation choice among behaviors for one accepted program. The clause needs an unnamed type, and C6 admits only basic, alias and defined names; function types are the first unnamed form.	C9
LAT-061	Go spec	Assignability	at least	V and T are channel types with identical element types, V is a bidirectional channel, and at least one of V or T is not a named type.	NOT-LATITUDE	SPEC-040	SC-04	This states a lower bound or existential condition inside the rule, not an implementation choice among behaviors for one accepted program. It is a channel assignability clause and lands with channels.	C14
LAT-062	Go spec	Declarations_and_scope	may	No identifier may be declared twice in the same block, and no identifier may be declared in both the file and package block.	NOT-LATITUDE	SPEC-044	SC-03	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.	C6
LAT-063	Go spec	Declarations_and_scope	may	The blank identifier may be used like any other identifier in a declaration, but it does not introduce a binding and thus is not declared.	NOT-LATITUDE	SPEC-044	SC-03	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.	C6
LAT-064	Go spec	Declarations_and_scope	may	In the package block, the identifier init may only be used for init function declarations, and like the blank identifier it does not introduce a new binding.	NOT-LATITUDE	SPEC-044	SC-03	This is a source-validity prohibition or placement restriction, not implementation latitude.	C6
LAT-065	Go spec	Declarations_and_scope	may	An identifier declared in a block may be redeclared in an inner block.	NOT-LATITUDE	SPEC-044	SC-03	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program. C6 has one function-body block and no nested block, so inner-block redeclaration lands with control.	C8
LAT-066	Go spec	Exported_identifiers	may	An identifier may be exported to permit access to it from another package.	NOT-LATITUDE	SPEC-048	SC-03	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program. Export only has effect across packages, which needs imports.	C11
LAT-067	Go spec	Constant_declarations	may	Within a parenthesized const declaration list the expression list may be omitted from any but the first ConstSpec.	NOT-LATITUDE	SPEC-050	SC-03	This is a source-spelling permission, not implementation latitude for one fixed accepted program. Inherited const initializers are C6 work: the source constructor `Syntax.InheritedConstInit` exists, and C6 owns the retained predecessor and current-iota facts that give one its meaning.	C6
LAT-068	Go spec	Type_definitions	may	A defined type may have methods associated with it.	NOT-LATITUDE	SPEC-054	SC-03; SC-04	This states what a defined type may later carry, not implementation latitude. C6 admits the defined type itself; methods on it are owned by the methods-and-interfaces milestone, and C6 represents no method.	C12
LAT-069	Go spec	Type_definitions	may	Type definitions may be used to define different boolean, numeric, or string types and associate methods with them:	NOT-LATITUDE	SPEC-054	SC-03; SC-04	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program. C6 owns the defined types themselves through its exact SPEC rows; this row closes when methods land.	C12
LAT-070	Go spec	Type_definitions	may	A generic type may also have methods associated with it.	NOT-LATITUDE	SPEC-054	SC-03; SC-04	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program. Generic types arrive with generics.	C13
LAT-071	Go spec	Type_parameter_declarations	may	Type parameters may also be declared by the receiver specification of a method declaration associated with a generic type.	NOT-LATITUDE	SPEC-055	SC-03; SC-04	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.	C13
LAT-072	Go spec	Type_parameter_declarations	may	Within a type parameter list of a generic type T, a type constraint may not (directly, or indirectly through the type parameter list of another generic type) refer to T.	NOT-LATITUDE	SPEC-055	SC-03; SC-04	This is a source-validity prohibition or placement restriction, not implementation latitude.	C13
LAT-073	Go spec	Type_constraints	may	If the constraint is an interface literal of the form interface{E} where E is an embedded type element (not a method), in a type parameter list the enclosing interface{ … } may be omitted for convenience:	NOT-LATITUDE	SPEC-056	SC-03; SC-04	This describes a source-program choice or admitted source form that is represented by the owning syntax and facts; it is not an implementation choice for one fixed program.	C13
LAT-074	Go spec	Type_constraints	may	The comparable interface and interfaces that (directly or indirectly) embed comparable may only be used as type constraints.	NOT-LATITUDE	SPEC-056	SC-03; SC-04	This is a source-validity prohibition or placement restriction, not implementation latitude.	C13
LAT-075	Go spec	Satisfying_a_type_constraint	may	As an exception, a strictly comparable type constraint may also be satisfied by a comparable (not necessarily strictly comparable) type argument [Go 1.20].	NOT-LATITUDE	SPEC-057	SC-03; SC-04	This is a language-history or availability statement; the current Go 1.23 construct is dispositioned by its current-spec owner row.	C13
LAT-076	Go spec	Satisfying_a_type_constraint	may	Because of the exception in the constraint satisfaction rule, comparing operands of type parameter type may panic at run-time (even though comparable type parameters are always strictly comparable).	NOT-LATITUDE	SPEC-057	SC-03; SC-04	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.	C13
LAT-077	Go spec	Variable_declarations	may, implementation restriction	Implementation restriction: A compiler may make it illegal to declare a variable inside a function body if the variable is never used.	ACCEPTANCE-ALIGNMENT	SPEC-058	SC-22; SC-03	The pinned compiler rejects a function-local variable that is declared and never used; Fido acceptance must reject the same source before runtime state exists.	C6
LAT-078	Go spec	Short_variable_declarations	may, at least	Unlike regular variable declarations, a short variable declaration may redeclare variables provided they were originally declared earlier in the same block (or the parameter lists if the block is the function body) with the same type, and at least one of the non-blank variables is new.	NOT-LATITUDE	SPEC-059	SC-03	This states a lower bound or existential condition inside the rule, not an implementation choice among behaviors for one accepted program.	C6
LAT-079	Go spec	Short_variable_declarations	may	Short variable declarations may appear only inside functions.	NOT-LATITUDE	SPEC-059	SC-03	This is a placement restriction on a source form, not implementation latitude. Short variable declarations are C6 work: no current syntax represents one, and C6 owns the function-local-only rule and the new-nonblank-name requirement.	C6
LAT-080	Go spec	Function_declarations	may	A function declaration without type parameters may omit the body.	NOT-LATITUDE	SPEC-060	SC-03; SC-07	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.	C9
LAT-081	Go spec	Method_declarations	may	If the receiver's value is not referenced inside the body of the method, its identifier may be omitted in the declaration.	NOT-LATITUDE	SPEC-061	SC-03; SC-07	This describes a source-program choice or admitted source form that is represented by the owning syntax and facts; it is not an implementation choice for one fixed program.	C12
LAT-082	Go spec	Operands	may	An operand may be a literal, a (possibly qualified) non-blank identifier denoting a constant, variable, or function, or a parenthesized expression.	NOT-LATITUDE	SPEC-063	SC-05	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.	C7
LAT-083	Go spec	Operands	may	An operand name denoting a generic function may be followed by a list of type arguments; the resulting operand is an instantiated function.	NOT-LATITUDE	SPEC-063	SC-05	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.	C7
LAT-084	Go spec	Operands	may	The blank identifier may appear as an operand only on the left-hand side of an assignment statement.	NOT-LATITUDE	SPEC-063	SC-05	This describes a source-program choice or admitted source form that is represented by the owning syntax and facts; it is not an implementation choice for one fixed program.	C7
LAT-085	Go spec	Operands	implementation restriction	Implementation restriction: A compiler need not report an error if an operand's type is a type parameter with an empty type set.	ACCEPTANCE-ALIGNMENT	SPEC-063	SC-22; SC-05; SC-13	The pinned compiler reports an invalid operand when the operand type parameter has an empty type set; Fido must not accept an expression fact that lacks an admissible operator case.	C7
LAT-086	Go spec	Composite_literals	may	Each element may optionally be preceded by a corresponding key.	NOT-LATITUDE	SPEC-065	SC-05; SC-08	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.	C10
LAT-087	Go spec	Composite_literals	may	A literal may omit the element list; such a literal evaluates to the zero value for its type.	NOT-LATITUDE	SPEC-065	SC-05; SC-08	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.	C10
LAT-088	Go spec	Composite_literals	may	one may write	NOT-LATITUDE	SPEC-065	SC-05; SC-08	This is explanatory or example wording; it grants no alternate semantics.	C10
LAT-089	Go spec	Composite_literals	may	Within a composite literal of array, slice, or map type T, elements or map keys that are themselves composite literals may elide the respective literal type if it is identical to the element or key type of T.	NOT-LATITUDE	SPEC-065	SC-05; SC-08	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.	C10
LAT-090	Go spec	Composite_literals	may	Similarly, elements or keys that are addresses of composite literals may elide the &T when the element or key type is *T.	NOT-LATITUDE	SPEC-065	SC-05; SC-08	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.	C10
LAT-091	Go spec	Function_literals	may	Function literals are closures: they may refer to variables defined in a surrounding function.	NOT-LATITUDE	SPEC-066	SC-05; SC-07	This describes a source-program choice or admitted source form that is represented by the owning syntax and facts; it is not an implementation choice for one fixed program.	C9
LAT-092	Go spec	Selectors	may	A selector f may denote a field or method f of a type T, or it may refer to a field or method f of a nested embedded field of T.	NOT-LATITUDE	SPEC-068	SC-05; SC-13	This describes a source-program choice or admitted source form that is represented by the owning syntax and facts; it is not an implementation choice for one fixed program.	C12
LAT-093	Go spec	Selectors	may	one may write:	NOT-LATITUDE	SPEC-068	SC-05; SC-13	This is explanatory or example wording; it grants no alternate semantics.	C12
LAT-094	Go spec	Method_expressions	may	That function may be called normally with an explicit receiver, so these five invocations are equivalent:	NOT-LATITUDE	SPEC-069	SC-05; SC-13	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.	C12
LAT-095	Go spec	Method_values	may	The expression x is evaluated and saved during the evaluation of the method value; the saved copy is then used as the receiver in any calls, which may be executed later.	NOT-LATITUDE	SPEC-070	SC-05; SC-13	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.	C12
LAT-096	Go spec	Method_values	may	The type T may be an interface or non-interface type.	NOT-LATITUDE	SPEC-070	SC-05; SC-13	The matched wording describes a program form, deterministic rule, permission, prohibition, or example; it does not grant semantic latitude to an implementation for one accepted program.	C12
LAT-097	Go spec	Index_expressions	may	a[x] may not be assigned to	NOT-LATITUDE	SPEC-071	SC-05; SC-08	This is a source-validity prohibition or placement restriction, not implementation latitude.	C10
LAT-098	Go spec	Index_expressions	may	a[x] may not be assigned to if P's type set includes string types.	NOT-LATITUDE	SPEC-071	SC-05; SC-08	This is a source-validity prohibition or placement restriction, not implementation latitude.	C10
LAT-099	Go spec	Simple_slice_expressions	may	For convenience, any of the indices may be omitted.	NOT-LATITUDE	SPEC-073	SC-05; SC-08	This describes a source-program choice or admitted source form that is represented by the owning syntax and facts; it is not an implementation choice for one fixed program.	C10
LAT-100	Go spec	Full_slice_expressions	may	Only the first index may be omitted; it defaults to 0.	NOT-LATITUDE	SPEC-074	SC-05; SC-08	This describes a source-program choice or admitted source form that is represented by the owning syntax and facts; it is not an implementation choice for one fixed program.	C10
